;Rendement
257;0.054541502910280995
258;0.020676338141753375
259;0.05473083792002768
260;0.07858712687867225
261;0.03805117296121722
262;-0.0069858603288432165
263;0.018423717597727745
264;0.04640103271066536
265;-0.013759827701801015
266;0.04089287634893182
267;0.06492080772265084
268;-0.07046352497014027
269;0.04688987930725389
270;0.10749547171375994
271;-0.0009239287953074893
272;0.0227411007443024
273;-0.1115935499194464
274;-0.042545545590697176
275;-0.004458489284040183
276;0.05065789624993954
277;0.04095510225875259
278;0.08370650651051563
279;-0.041360946446652065
280;-0.030146108868204635
281;-0.03117683049747569
282;-0.03668824133175079
283;0.046664780586694266
284;0.015128781653644695
285;0.09599991293390886
286;0.03948554098165829
287;0.07385176170930151
288;0.013232212773227161
289;0.08131897137842699
290;0.0850687893034106
291;0.037738992139927346
292;0.04085335225081593
293;0.03832850578686788
294;0.0038753746974755643
295;-0.07200969942827343
296;-0.02610381502706744
297;-0.019795966556519887
298;0.029942308769298053
299;0.05902383427145196
300;0.0937500345962519
301;0.033462890000477044
302;0.04174702055546959
303;-0.025837280429729218
304;0.05149782830688693
305;0.04831054122624167
306;-0.014212101656439274
307;0.013090173058524215
308;0.01228594438844354
309;-0.013232951794428516
310;0.02782672153852374
311;-0.035479299479832915
312;-0.025816672589454585
313;0.02504017518206098
314;0.08152785551127067
315;0.08164793007916614
316;-0.03809510486985118
317;0.021912507825581143
318;0.026090745076368053
319;0.057798800388890896
320;0.020498151267265997
321;0.09485781330453662
322;0.046496778939625755
323;0.01479805496299008
324;-0.0353814085142946
325;0.03186068479430219
326;-0.08710851758075137
327;-0.009257111850743911
328;0.006192627181485619
329;0.0435020545585148
330;-0.008005869710739546
331;0.0593678160264561
332;0.017925256917516775
333;0.01006094675764686
334;0.02624318680395362
335;0.0985824854595063
336;-0.023822478030303386
337;0.022437238115590362
338;0.01685463712467964
339;0.08154553112642532
340;0.1284537749897234
341;0.03895806447593969
342;0.06549899031199956
343;0.046523991183573796
344;-0.043833896255321324
345;0.06830863783717661
346;0.043680750576974535
347;0.040043401472679534
348;0.03856633093825423
349;0.03836888331124541
350;0.03819898820366816
351;-0.004628048885503944
352;0.030202828569552764
353;0.018832522538002223
354;0.04381839616803077
355;0.037719762352666206
356;0.0025986945026676266
357;0.03512418142479205
358;-0.004124345784307053
359;0.03937435620595963
360;-0.042657465206503105
361;0.05347777116423046
362;-0.022075616579759157
363;0.05010024701470386
364;0.04050767869802414
365;0.0826574725533618
366;0.036611807185353624
367;0.041249800945994224
368;0.05624741112335883
369;-0.005399601183640072
370;0.04552802989927755
371;0.008244965671039068
372;-0.0011833194044460526
373;-0.0055210104553376025
374;0.0003432572287233881
375;0.029849433349831856
376;0.01428082686633033
377;0.010291889947652493
378;-0.035292162718254756
379;-0.022652520913331243
380;0.07470499495936607
381;-0.009082232634246878
